"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"156","Joshua Zirkzee","https://www.transfermarkt.com/joshua-zirkzee/profil/spieler/435648","€42.00m","Netherlands","Attack - Centre-Forward","right","Manchester United","Spartaan Yth.","Netherlands"
"157","Ousmane Diomande","https://www.transfermarkt.com/ousmane-diomande/profil/spieler/974982","€40.00m","Cote","Defender - Centre-Back","right","Sporting CP","OS Abobo","Ivory Coast"
"158","Pau Cubarsí","https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110","€40.00m","Spain","Defender - Centre-Back","right","FC Barcelona","Girona FC Youth","Spain"
"159","Désiré Doué","https://www.transfermarkt.com/desire-doue/profil/spieler/914562","€40.00m","France","Attack - Left Winger","right","Paris Saint-Germain","Rennes Jugend","France"
"160","Maghnes Akliouche","https://www.transfermarkt.com/maghnes-akliouche/profil/spieler/745200","€40.00m","France","Attack - Right Winger","left","AS Monaco","US Torcy Yth.","France"
"161","João Gomes","https://www.transfermarkt.com/joao-gomes/profil/spieler/735570","€40.00m","Brazil","Midfield - Central Midfield","right","Wolverhampton Wanderers","Flamengo U17","Brazil"
"162","Hugo Ekitiké","https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726","€40.00m","France","Attack - Centre-Forward","right","Eintracht Frankfurt","Reims Yth.","France"
"163","Rico Lewis","https://www.transfermarkt.com/rico-lewis/profil/spieler/701057","€40.00m","England","Defender - Right-Back","right","Manchester City","Man City Youth","England"
"164","Willian Pacho","https://www.transfermarkt.com/willian-pacho/profil/spieler/661171","€40.00m","Ecuador","Defender - Centre-Back","left","Paris Saint-Germain","IDV U20","Ecuador"
"165","Piero Hincapié","https://www.transfermarkt.com/piero-hincapie/profil/spieler/659813","€40.00m","Ecuador","Defender - Centre-Back","left","Bayer 04 Leverkusen","IDV U20","Ecuador"
"166","Jhon Durán","https://www.transfermarkt.com/jhon-duran/profil/spieler/649317","€40.00m","Colombia","Attack - Centre-Forward","left","Aston Villa","Envigado U20","Colombia"
"167","Evan Ferguson","https://www.transfermarkt.com/evan-ferguson/profil/spieler/648046","€40.00m","Ireland","Attack - Centre-Forward","right","Brighton & Hove Albion","St. Kevins Boys","Ireland"
"168","Alejandro Balde","https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688","€40.00m","Spain","Defender - Left-Back","left","FC Barcelona","Barça Youth","Spain"
"169","Roméo Lavia","https://www.transfermarkt.com/romeo-lavia/profil/spieler/628451","€40.00m","Belgium","Midfield - Defensive Midfield","right","Chelsea FC","Anderlecht Yth.","Belgium"
"170","Matheus Nunes","https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883","€40.00m","Portugal","Midfield - Central Midfield","right","Manchester City","Ericeirense","Portugal"
"171","Oihan Sancet","https://www.transfermarkt.com/oihan-sancet/profil/spieler/571020","€40.00m","Spain","Midfield - Attacking Midfield","right","Athletic Bilbao","CA Osasuna Yout","Spain"
"172","Johan Bakayoko","https://www.transfermarkt.com/johan-bakayoko/profil/spieler/565424","€40.00m","Belgium","Attack - Right Winger","left","PSV Eindhoven","OH Leuven Yth.","Belgium"
"173","Edmond Tapsoba","https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545","€40.00m","Burkina","Defender - Centre-Back","right","Bayer 04 Leverkusen","Salitas","Burkina Faso"
"174","Noni Madueke","https://www.transfermarkt.com/noni-madueke/profil/spieler/503987","€40.00m","England","Attack - Right Winger","left","Chelsea FC","Tottenham Yth.","England"
"175","Morgan Rogers","https://www.transfermarkt.com/morgan-rogers/profil/spieler/503743","€40.00m","England","Midfield - Attacking Midfield","right","Aston Villa","West Brom Yth.","England"
"176","Andrea Cambiaso","https://www.transfermarkt.com/andrea-cambiaso/profil/spieler/459658","€40.00m","Italy","Defender - Left-Back","both","Juventus FC","Genoa U19","Italy"
"177","Lucas Paquetá","https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523","€40.00m","Brazil","Midfield - Attacking Midfield","left","West Ham United","Flamengo U20","Brazil"
"178","Morgan Gibbs-White","https://www.transfermarkt.com/morgan-gibbs-white/profil/spieler/429014","€40.00m","England","Midfield - Attacking Midfield","right","Nottingham Forest","Wolves Yth.","England"
"179","Exequiel Palacios","https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578","€40.00m","Argentina","Midfield - Central Midfield","right","Bayer 04 Leverkusen","River Plate U20","Argentina"
"180","Nico Schlotterbeck","https://www.transfermarkt.com/nico-schlotterbeck/profil/spieler/388198","€40.00m","Germany","Defender - Centre-Back","left","Borussia Dortmund","Weinstadt Yth.","Germany"
"181","Diogo Costa","https://www.transfermarkt.com/diogo-costa/profil/spieler/357153","€40.00m","Portugal","Goalkeeper","right","FC Porto","FC Porto Youth","Portugal"
"182","Diogo Dalot","https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147","€40.00m","Portugal","Defender - Right-Back","right","Manchester United","FC Porto Youth","Portugal"
"183","Benjamin Pavard","https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366","€40.00m","France","Defender - Centre-Back","right","Inter Milan","LOSC Lille U19","France"
"184","Robin Le Normand","https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809","€40.00m","Spain","Defender - Centre-Back","right","Atlético de Madrid","Stade Brest U19","France"
"185","Mikel Oyarzabal","https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478","€40.00m","Spain","Attack - Centre-Forward","left","Real Sociedad","SD Eibar Youth","Spain"
"186","Joelinton","https://www.transfermarkt.com/joelinton/profil/spieler/333241","€40.00m","Brazil","Midfield - Central Midfield","right","Newcastle United","Recife U17","Brazil"
"187","Scott McTominay","https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969","€40.00m","Scotland","Midfield - Central Midfield","right","SSC Napoli","Man Utd Youth","England"
"188","Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","€40.00m","Morocco","Attack - Right Winger","both","Real Madrid","Málaga CF Youth","Spain"
"189","Brais Méndez","https://www.transfermarkt.com/brais-mendez/profil/spieler/309110","€40.00m","Spain","Midfield - Attacking Midfield","left","Real Sociedad","Celta U19","Spain"
"190","Manuel Akanji","https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730","€40.00m","Switzerland","Defender - Centre-Back","right","Manchester City","Winterthur U18","Switzerland"
"191","Serhou Guirassy","https://www.transfermarkt.com/serhou-guirassy/profil/spieler/270541","€40.00m","Guinea","Attack - Centre-Forward","right","Borussia Dortmund","J3 Amilly Jgd.","France"
"192","David Raya","https://www.transfermarkt.com/david-raya/profil/spieler/262749","€40.00m","Spain","Goalkeeper","right","Arsenal FC","Cornellà Youth","Spain"
"193","Gregor Kobel","https://www.transfermarkt.com/gregor-kobel/profil/spieler/257814","€40.00m","Switzerland","Goalkeeper","right","Borussia Dortmund","GC Zürich Jgd.","Switzerland"
"194","João Palhinha","https://www.transfermarkt.com/joao-palhinha/profil/spieler/257455","€40.00m","Portugal","Midfield - Defensive Midfield","right","Bayern Munich","Alta Lisboa S15","Portugal"
"195","Alejandro Grimaldo","https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082","€40.00m","Spain","Defender - Left-Back","left","Bayer 04 Leverkusen","Valencia CF You","Spain"
"196","Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","€40.00m","Brazil","Defender - Centre-Back","right","Paris Saint-Germain","Corinthians B","Brazil"
"197","Hakan Çalhanoglu","https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414","€40.00m","Türkiye","Midfield - Defensive Midfield","right","Inter Milan","PSV Mannh. Yth.","Germany"
"198","Ilya Zabarnyi","https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089","€38.00m","Ukraine","Defender - Centre-Back","right","AFC Bournemouth","Dynamo Kyiv U17","Ukraine"
"199","António Silva","https://www.transfermarkt.com/antonio-silva/profil/spieler/650568","€38.00m","Portugal","Defender - Centre-Back","right","SL Benfica","Benfica U15","Portugal"
"200","Charles De Ketelaere","https://www.transfermarkt.com/charles-de-ketelaere/profil/spieler/435772","€38.00m","Belgium","Midfield - Attacking Midfield","left","Atalanta BC","Club Brugge Yth","Belgium"
"201","Sandro Tonali","https://www.transfermarkt.com/sandro-tonali/profil/spieler/397033","€38.00m","Italy","Midfield - Central Midfield","right","Newcastle United","Piacenza Youth","Italy"
"202","Boubacar Kamara","https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327","€38.00m","France","Midfield - Defensive Midfield","right","Aston Villa","Marseille Yth","France"
