"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"36","Rafael Leão","https://www.transfermarkt.com/rafael-leao/profil/spieler/357164","€75.00m","Portugal","Attack - Left Winger","right","AC Milan","Sporting Yth.","Portugal"
"37","Alexander Isak","https://www.transfermarkt.com/alexander-isak/profil/spieler/349066","€75.00m","Sweden","Attack - Centre-Forward","right","Newcastle United","AIK U17","Sweden"
"38","Viktor Gyökeres","https://www.transfermarkt.com/viktor-gyokeres/profil/spieler/325443","€75.00m","Sweden","Attack - Centre-Forward","right","Sporting CP","IFK AT U19","Sweden"
"39","Marcus Thuram","https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528","€75.00m","France","Attack - Centre-Forward","right","Inter Milan","ACBB Youth","France"
"40","Alessandro Bastoni","https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853","€75.00m","Italy","Defender - Centre-Back","left","Inter Milan","Atalanta Youth","Italy"
"41","Trent Alexander-Arnold","https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353","€75.00m","England","Defender - Right-Back","right","Liverpool FC","Liverpool Youth","England"
"42","Kai Havertz","https://www.transfermarkt.com/kai-havertz/profil/spieler/309400","€75.00m","Germany","Attack - Centre-Forward","left","Arsenal FC","Mariadorf Yth.","Germany"
"43","Rúben Dias","https://www.transfermarkt.com/ruben-dias/profil/spieler/258004","€75.00m","Portugal","Defender - Centre-Back","right","Manchester City","Estrela A. F","Portugal"
"44","Nico Williams","https://www.transfermarkt.com/nico-williams/profil/spieler/709187","€70.00m","Spain","Attack - Left Winger","right","Athletic Bilbao","CA Osasuna Yout","Spain"
"45","Ronald Araujo","https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267","€70.00m","Uruguay","Defender - Centre-Back","right","FC Barcelona","Rentistas U19","Uruguay"
"46","Bradley Barcola","https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265","€65.00m","France","Attack - Left Winger","right","Paris Saint-Germain","Ol. Lyon Yth.","France"
"47","Michael Olise","https://www.transfermarkt.com/michael-olise/profil/spieler/566723","€65.00m","France","Attack - Right Winger","left","Bayern Munich","Arsenal Youth","England"
"48","Darwin Núñez","https://www.transfermarkt.com/darwin-nunez/profil/spieler/546543","€65.00m","Uruguay","Attack - Centre-Forward","right","Liverpool FC","Peñarol Yth.","Uruguay"
"49","Cristian Romero","https://www.transfermarkt.com/cristian-romero/profil/spieler/355915","€65.00m","Argentina","Defender - Centre-Back","right","Tottenham Hotspur","Belgrano U20","Argentina"
"50","Endrick","https://www.transfermarkt.com/endrick/profil/spieler/971570","€60.00m","Brazil","Attack - Centre-Forward","left","Real Madrid","Palmeiras U17","Brazil"
"51","Warren Zaïre-Emery","https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092","€60.00m","France","Midfield - Central Midfield","right","Paris Saint-Germain","PSG Youth","France"
"52","João Neves","https://www.transfermarkt.com/joao-neves/profil/spieler/670681","€60.00m","Portugal","Midfield - Defensive Midfield","right","Paris Saint-Germain","Benfica Yth","Portugal"
"53","Rasmus Højlund","https://www.transfermarkt.com/rasmus-hojlund/profil/spieler/610442","€60.00m","Denmark","Attack - Centre-Forward","left","Manchester United","Hörsholm U IK","Denmark"
"54","Bremer","https://www.transfermarkt.com/bremer/profil/spieler/516716","€60.00m","Brazil","Defender - Centre-Back","right","Juventus FC","Desportivo U20","Brazil"
"55","Bremer","https://www.transfermarkt.com/bremer/profil/spieler/516716","€60.00m","Brazil","Defender - Centre-Back","right","Juventus FC","Desportivo U20","Brazil"
"56","Anthony Gordon","https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733","€60.00m","England","Attack - Left Winger","right","Newcastle United","Liverpool Youth","England"
"57","Jérémy Doku","https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049","€60.00m","Belgium","Attack - Left Winger","right","Manchester City","Beerschot Yth","Belgium"
"58","Omar Marmoush","https://www.transfermarkt.com/omar-marmoush/profil/spieler/445939","€60.00m","Egypt","Attack - Centre-Forward","right","Eintracht Frankfurt","Wadi Degla U21","Egypt"
"59","Cody Gakpo","https://www.transfermarkt.com/cody-gakpo/profil/spieler/434675","€60.00m","Netherlands","Attack - Left Winger","right","Liverpool FC","PSV Youth","Netherlands"
"60","Dejan Kulusevski","https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755","€60.00m","Sweden","Midfield - Attacking Midfield","left","Tottenham Hotspur","IF Bromma U17","Sweden"
"61","Martín Zubimendi","https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440","€60.00m","Spain","Midfield - Defensive Midfield","right","Real Sociedad","Real Sociedad Y","Spain"
"62","Raphinha","https://www.transfermarkt.com/raphinha/profil/spieler/411295","€60.00m","Brazil","Attack - Left Winger","left","FC Barcelona","Avaí U20","Brazil"
"63","Éder Militão","https://www.transfermarkt.com/eder-militao/profil/spieler/401530","€60.00m","Brazil","Defender - Centre-Back","right","Real Madrid","São Paulo U17","Brazil"
"64","Achraf Hakimi","https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","€60.00m","Morocco","Defender - Right-Back","right","Paris Saint-Germain","Real Madrid U18","Spain"
"65","Loïs Openda","https://www.transfermarkt.com/lois-openda/profil/spieler/368887","€60.00m","Belgium","Attack - Centre-Forward","right","RB Leipzig","Standard Liège","Belgium"
"66","Dušan Vlahovic","https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498","€60.00m","Serbia","Attack - Centre-Forward","left","Juventus FC","Partizan U17","Serbia"
